min_angle,max_angle,radiation,view,img
39,90,150.79,-59.21,https://code4architecture.github.io/DesignExplorer---Data/img_232.png
14,60,86.16,-32.23,https://code4architecture.github.io/DesignExplorer---Data/img_233.png
36,73,129.89,-50.66,https://code4architecture.github.io/DesignExplorer---Data/img_234.png
35,87,141.35,-55.61,https://code4architecture.github.io/DesignExplorer---Data/img_235.png
10,73,91.89,-34.96,https://code4architecture.github.io/DesignExplorer---Data/img_236.png
35,86,140.4,-55.21,https://code4architecture.github.io/DesignExplorer---Data/img_237.png
10,87,103.46,-40.51,https://code4architecture.github.io/DesignExplorer---Data/img_238.png
13,73,95.55,-36.78,https://code4architecture.github.io/DesignExplorer---Data/img_239.png
39,60,121.97,-47.32,https://code4architecture.github.io/DesignExplorer---Data/img_240.png
38,61,121.27,-47.11,https://code4architecture.github.io/DesignExplorer---Data/img_241.png
32,90,139.3,-54.98,https://code4architecture.github.io/DesignExplorer---Data/img_242.png
30,84,130.18,-51.4,https://code4architecture.github.io/DesignExplorer---Data/img_243.png
37,61,119.56,-46.51,https://code4architecture.github.io/DesignExplorer---Data/img_244.png
